holdout_channel,model,auc_test_mean,auc_test_std,auc_val_mean,auc_val_std,ap_test_mean,ap_test_std,brier_test_mean,brier_test_std,p10_mean,p10_std,r10_mean,r10_std,p20_mean,p20_std,r20_mean,r20_std,ndcg10_mean,ndcg10_std,ndcg20_mean,ndcg20_std,hit10_mean,hit10_std,hit20_mean,hit20_std,spearman_mean,spearman_std,kendall_tau_mean,kendall_tau_std,train_time_sec_mean,train_time_sec_std,infer_test_time_sec_mean,infer_test_time_sec_std,test_latency_ms_per_sample_mean,test_latency_ms_per_sample_std,model_artifact_size_bytes_mean,model_artifact_size_bytes_std,model_param_count_mean,model_param_count_std
中天新聞,XGB,0.7463417152888935,0.0043223215069576534,0.8115174783480781,0.004797145245778633,0.4102890507026557,0.005784014135660955,0.17717495262622834,0.013398297790745856,0.446829268292683,0.009509067653472168,0.2140186915837846,0.004554576796533296,0.41362530413625304,0.0048661800486617945,0.3971962616729627,0.004672897196152492,0.48543565047590376,0.011695451898979635,0.44244659211355525,0.006317430816201837,1.0,0.0,1.0,0.0,0.34639911262580914,0.006077932551652305,0.28290260534072703,0.004963810533329695,45.113150258618404,7.908157773938116,0.002127424441277981,0.0003864081685329312,0.0010342364809324167,0.00018785034931109935,1069099.8,201941.73314894573,,
中天新聞,RF,0.7306735971268423,0.002323680721861486,0.8062844854028309,0.0017371127119567421,0.39033177013256837,0.004413779119603662,0.15181692758813595,0.0001526364293123617,0.43024390243902444,0.009383114176425058,0.20607476635032534,0.004494248612435026,0.3975669099756691,0.008357938704290835,0.38177570092565943,0.008025964503231961,0.4635683531585465,0.008979136181523139,0.42295000347538236,0.010594436424748582,1.0,0.0,1.0,0.0,0.32436702509720794,0.003267497560017582,0.2649090859106759,0.002668581428135894,172.1354713810142,0.9374116516659405,0.10284457302186638,0.004346745301019499,0.04999736170241438,0.0021131479343799208,138112223.0,85335.86162921175,,
台視新聞 TTV NEWS,LR,0.8219129603060736,0.0,0.8151587470701044,0.0,0.4963448544460406,0.0,0.12146542093677785,0.0,0.5595238095238095,0.0,0.31333333331244445,0.0,0.49112426035502954,0.0,0.5533333332964444,0.0,0.6048489844946769,0.0,0.5801349923188357,0.0,1.0,0.0,1.0,0.0,0.425704259654238,0.0,0.3477911985505598,0.0,93.65710117600392,0.9534605479294471,0.0013072225963696837,0.0002910170013747376,0.0015433560759972654,0.0003435855978450268,9393.0,0.0,1085.0,0.0
台視新聞 TTV NEWS,XGB,0.8190205643232904,0.003578722610981297,0.8138521201789899,0.0026364694531265343,0.5014270464469124,0.01078397057367159,0.12257696688175201,0.0018951143939568039,0.5619047619047619,0.017657615445465867,0.3146666666456889,0.009888264648801654,0.4840236686390533,0.0128280966796916,0.5453333332969776,0.01445298892482234,0.6115589943707697,0.014611799001566792,0.5798431310071754,0.01239351920155791,1.0,0.0,1.0,0.0,0.42187929667051255,0.004732575452628577,0.3446663815959546,0.003866350753294622,65.0516985277878,4.600153312605436,0.0013204358052462339,0.00011057378901959636,0.0015589560864772538,0.0001305475667291575,1303435.6,157191.51329922362,,
台視新聞 TTV NEWS,MLP,0.7984505021520804,0.003089408684937724,0.8068033240997229,0.00256484449038942,0.4556540018597962,0.0062775119448878714,0.12806256413459777,0.006404668814931321,0.5333333333333334,0.01552191048857777,0.29866666664675556,0.008692269873024062,0.42603550295857984,0.016736255176012987,0.47999999996799997,0.018856180830384192,0.5763501628853023,0.010467010604913483,0.5183592389906899,0.013096360980396649,1.0,0.0,1.0,0.0,0.3946770268003086,0.0040854970105592935,0.322442618504074,0.003337762941651585,3.225419374392368,0.11889602394441039,0.0008386495755985379,5.0714029161493196e-05,0.0009901411754410128,5.987488684946065e-05,1180614.0,0.0,294273.0,0.0
台視新聞 TTV NEWS,RF,0.7900124342419895,0.004206139281199304,0.8090986575751119,0.005288089977810682,0.49798896768621104,0.005242260762695755,0.13788123515857353,0.007622581024566611,0.5785714285714285,0.02162607395783919,0.32399999997839996,0.012110601415582607,0.45798816568047335,0.008973817093552132,0.5159999999656,0.010110500591394686,0.6361372627240905,0.016845856357437843,0.5664127650176896,0.006991230467446931,1.0,0.0,1.0,0.0,0.3835183538187609,0.005562284311271837,0.3133262233483424,0.004544266314993995,315.8727108287858,0.5853996666630031,0.10771483078133315,0.06414319286980323,0.1271721732955527,0.07572986171169213,159103319.8,101287480.11436486,,
東森新聞 CH51,LR,0.7217509556012939,0.0,0.7544165485027943,0.0,0.2701120310494994,0.0,0.127570915613308,0.0,0.3557692307692308,0.0,0.2434210526155644,0.0,0.2822966507177033,0.0,0.3881578947113054,0.0,0.33927584794462823,0.0,0.3641180088183282,0.0,1.0,0.0,1.0,0.0,0.27060944532486103,0.0,0.2210571782564325,0.0,95.9161948364228,1.5318658592015855,0.002019861596636474,0.000838076443203571,0.001929189681601217,0.0008004550555908034,9393.0,0.0,1085.0,0.0
東森新聞 CH51,XGB,0.6951793590120553,0.009315774154038076,0.7571607306697807,0.0018862258233016183,0.27387220568753595,0.00857077739918197,0.1424743801355362,0.005678551023422885,0.33461538461538465,0.017200522903844533,0.2289473684059903,0.011768778828172,0.28421052631578947,0.009921742274319528,0.3907894736585007,0.013642395626291765,0.3575023952479695,0.01131049583083809,0.39041624921717977,0.011823234761763888,1.0,0.0,1.0,0.0,0.23818331667566467,0.011368322944810837,0.19456871443963428,0.009286628516129136,60.44632704840042,7.2672197747899485,0.0012441057711839675,0.00025570632142080227,0.0011882576611117169,0.00024422762313352657,1133711.6,328228.8727843728,,
東森新聞 CH51,MLP,0.6928668038812114,0.013630291787535762,0.7506697806322462,0.005582671672087066,0.24689109858066144,0.011527431419569568,0.12287718504667282,0.001946186468788836,0.2538461538461539,0.018743835278478786,0.1736842105148892,0.012824729400220692,0.2602870813397129,0.010482728373304632,0.35789473681855954,0.014413751512345568,0.27780653373993947,0.017279334389831803,0.34680890650504387,0.010502512529038227,1.0,0.0,1.0,0.0,0.23536123534641495,0.01663346043605314,0.1922634326589201,0.013587707331736911,4.2731633161893114,0.6765455927753334,0.000989310978911817,7.072265880594582e-05,0.0009449006484353554,6.754790716900262e-05,1180614.0,0.0,294273.0,0.0
東森新聞 CH51,RF,0.6461864157600705,0.010469126963819119,0.7106255734423221,0.003222160599678066,0.2560429633951771,0.005471692648384168,0.12821377831470562,0.010890853580044435,0.325,0.01579968915880287,0.22236842103800206,0.010810313634259173,0.25645933014354066,0.011015181275809891,0.35263157892416896,0.015145874253242158,0.34445776224555835,0.009055125388085464,0.3576306630888041,0.00935665781526126,1.0,0.0,1.0,0.0,0.1783957357730161,0.012775794507999452,0.14572905212388784,0.010436372908314472,315.0292075112229,1.1235286333093213,0.08459726220462471,0.019309927665733452,0.08079967736831396,0.018443101877491354,158491703.8,101348580.14499843,,
